index,period,frame_start,frame_end,minute,second,t_min,duration,team,team_name,phase_type,third_start,third_end,x_start,x_end,pen_area_end,is_shot,is_goal,xt_start,xt_end,xt_gain,signed,moment
123,1,13138,13183,21,52,21.867,4.5,Home,Brisbane,create,defensive_third,middle_third,-19.47,7.26,False,False,False,0.01482,0.00409,-0.01073,-0.01073,
124,1,13183,13251,21,57,21.95,6.8,Away,Perth,create,middle_third,middle_third,-7.22,13.82,False,False,False,0.0046,0.01169,0.00709,-0.00709,
125,1,13671,13681,22,46,22.767,1.0,Away,Perth,set_play,middle_third,attacking_third,15.94,28.95,False,False,False,0.01445,0.01298,-0.00146,0.00146,
126,1,13932,13978,23,12,23.2,4.6,Home,Brisbane,build_up,defensive_third,defensive_third,-48.46,-20.53,False,False,False,0.2,0.01225,-0.18775,-0.18775,
127,1,13978,13982,23,16,23.267,0.4,Home,Brisbane,create,defensive_third,middle_third,-18.56,-14.58,False,False,False,0.01081,0.00992,-0.0009,-0.0009,
128,1,13982,14006,23,17,23.283,2.4,Away,Perth,chaotic,middle_third,attacking_third,14.18,25.14,False,False,False,0.01351,0.03245,0.01894,-0.01894,
129,1,14006,14018,23,19,23.317,1.2,Home,Brisbane,chaotic,defensive_third,middle_third,-24.91,-12.03,False,False,False,0.01675,0.00898,-0.00777,-0.00777,
130,1,14018,14051,23,20,23.333,3.3,Away,Perth,chaotic,middle_third,attacking_third,11.66,28.08,False,False,False,0.01185,0.01474,0.0029,-0.0029,
131,1,14226,14277,23,41,23.683,5.1,Home,Brisbane,build_up,defensive_third,defensive_third,-48.42,-20.19,False,False,False,0.25,0.01721,-0.23279,-0.23279,
132,1,14277,14307,23,46,23.767,3.0,Home,Brisbane,create,defensive_third,middle_third,-18.55,-10.39,False,False,False,0.01511,0.01148,-0.00364,-0.00364,
133,1,14399,14434,23,58,23.967,3.5,Home,Brisbane,create,middle_third,attacking_third,-4.16,25.13,False,True,False,0.00727,0.00276,-0.00451,-0.00451,chance
134,1,14434,14855,24,2,24.033,42.1,Home,Brisbane,finish,attacking_third,middle_third,26.33,6.79,False,True,False,0.00297,0.00628,0.0033,0.0033,chance
135,1,14855,14874,24,44,24.733,1.9,Home,Brisbane,create,middle_third,middle_third,5.82,4.93,False,False,False,0.0066,0.0067,0.0001,0.0001,
